community,AREAID,price_pp,crime_rate
WEST ENGLEWOOD,67,14,4127.87
ENGLEWOOD,68,16.19,4489.79
WEST LAWN,65,20.33,1263.38
GAGE PARK,63,23.59,1194.67
EDISON PARK,9,25,480.02
SOUTH CHICAGO,46,28.8,3189.63
ROSELAND,49,30,2999.39
WEST GARFIELD PARK,26,31.67,6628.52
CHATHAM,44,35,3922.26
ARCHER HEIGHTS,57,35,1420.14
OHARE,76,38.5,2683.44
SOUTH LAWNDALE,30,39.65,1139.64
HERMOSA,20,43.85,1335.07
BELMONT CRAGIN,19,44,1218.39
GARFIELD RIDGE,56,50,1126.53
BRIGHTON PARK,58,51.67,1191.59
AUBURN GRESHAM,71,52.5,3145.89
WEST RIDGE,2,52.7,871.67
PULLMAN,50,53.5,3056.66
OAKLAND,36,53.77,2206.83
HUMBOLDT PARK,23,58.01,2904.85
ROGERS PARK,1,58.67,1305.85
NORWOOD PARK,10,59,695.78
ALBANY PARK,14,60.48,949.9
NEW CITY,61,61,2227.51
MONTCLARE,18,61.25,914.64
MCKINLEY PARK,59,61.73,1370.1
JEFFERSON PARK,11,64.08,873.15
ARMOUR SQUARE,34,65.28,1571.2
LOWER WEST SIDE,31,66.02,1431.13
AVONDALE,21,66.21,1156.08
MORGAN PARK,75,67.93,1773.42
FOREST GLEN,12,70,528.96
CALUMET HEIGHTS,48,70,2090.94
GREATER GRAND CROSSING,69,70,4092.08
BRIDGEPORT,60,70.76,1025.11
PORTAGE PARK,15,71.05,1044.38
EAST GARFIELD PARK,27,71.42,5187.92
WOODLAWN,42,71.46,2919.22
WEST ELSDON,62,71.5,1169.58
NORTH PARK,13,74.91,991.02
EDGEWATER,77,77.2,806.6
KENWOOD,39,77.99,1520.65
DOUGLAS,35,78.16,2748.66
HYDE PARK,41,79.32,1180.25
LINCOLN SQUARE,4,80.19,929.28
DUNNING,17,80.47,800.34
SOUTH SHORE,43,81.6,3509.55
SOUTH DEERING,51,83.67,2564.03
HEGEWISCH,55,83.75,1164.86
FULLER PARK,37,84,6133.52
LOGAN SQUARE,22,85.86,1356.48
BEVERLY,72,91.71,954.38
IRVING PARK,16,92.33,1107.78
BURNSIDE,47,95,2599.45
UPTOWN,3,95.4,1282.42
NEAR SOUTH SIDE,33,98.52,1751.29
NORTH CENTER,5,103.81,882.1
WEST TOWN,24,114.54,1805.8
NORTH LAWNDALE,29,115,4728.22
WASHINGTON PARK,40,115.75,4636.85
GRAND BOULEVARD,38,119.53,2925.81
LAKE VIEW,6,121.04,1208.14
NEAR WEST SIDE,28,123.42,3074.47
AUSTIN,25,131.18,3488.34
LINCOLN PARK,7,149.15,1215.45
ASHBURN,70,155,1191.3
LOOP,32,176.13,5476.9
NEAR NORTH SIDE,8,176.38,2354.13
