StateAbbr,PlaceName,PlaceFIPS,Binge rate,Cancer rate,Diabetes rate,Mental health rate,Obesity rate,Sleep rate
AL,Birmingham,107000,11.6,5.8,16.3,16.8,41.2,41.8
AL,Hoover,135896,15.4,6.7,8.4,11.5,28.8,32.8
AL,Huntsville,137000,13.3,6.7,11.8,15.1,35.5,38.3
AL,Mobile,150000,13.6,6.5,14.2,16.3,37.5,39.7
AL,Montgomery,151000,13.2,6.1,14.2,15.8,38.4,38.1
AL,Tuscaloosa,177256,15.5,4.7,10.2,16.4,35.9,41
AK,Anchorage,203000,20.3,5.4,7.3,11,34.2,30.7
AZ,Avondale,404720,18.2,4.3,8.9,13.5,31.2,37.3
AZ,Chandler,412000,18.9,5.5,7.3,11.2,26.4,34.4
AZ,Gilbert,427400,20.5,5.2,6.2,10.9,25.7,33.6
AZ,Glendale,427820,17,5.7,9.8,14.2,30.8,37.1
AZ,Mesa,446000,17,6.9,9.4,13.5,29.2,36
AZ,Peoria,454050,17.4,7.2,8.7,12.2,27.3,34.8
AZ,Phoenix,455000,17.2,5.4,9.5,13.9,31.1,36.8
AZ,Scottsdale,465000,16.7,8.5,8.2,10.5,24.8,32.3
AZ,Surprise,471510,16.6,8,9.3,12.5,27.8,35.3
AZ,Tempe,473000,19.8,4.7,6.5,12.5,26.1,35.3
AZ,Tucson,477000,15.8,5.9,9.7,14.4,28.6,34.6
AZ,Yuma,485540,18,5.8,11.1,13.6,36.3,31.8
AR,Fayetteville,523290,18.8,4.4,6.4,14.1,28.1,34.5
AR,Fort Smith,524550,14,6.5,12.4,17.1,33.5,35.4
AR,Jonesboro,535710,15.4,6.1,9.5,15.3,33.5,32.7
AR,Little Rock,541000,15.4,6.1,11,13.3,34.1,36.4
AR,Springdale,566080,16.2,5.3,9.8,16,32.9,36.3
CA,Alameda,600562,18.1,6.2,8.3,10.1,20.2,33.7
CA,Alhambra,600884,13.4,5,11.5,10.1,17.7,38
CA,Anaheim,602000,19.3,4.9,9.9,12.6,22.9,33.7
CA,Antioch,602252,18.4,5.4,9.7,13.5,27.7,35.4
